ArtNo;BrandNo;Extension;Name;Height;Width;Path;Url;Description;Langue;CountryCode;Exclude;DocType;SortNo;
3033609;232;BMP;3033609;NULL;NULL;0232/003033609.BMP;NULL;NULL;Universel;NULL;0;1;1;
3038009;232;BMP;3038009;NULL;NULL;0232/003038009.BMP;NULL;NULL;Universel;NULL;0;1;1;
3038609;232;JPG;3038609;NULL;NULL;0232/003038609.JPG;NULL;NULL;Universel;NULL;0;3;1;
3418609;232;BMP;3418609;NULL;NULL;0232/003418609.BMP;NULL;NULL;Universel;NULL;0;1;1;
3480209;232;BMP;3480209;NULL;NULL;0232/003480209.BMP;NULL;NULL;Universel;NULL;0;1;1;
3535309;232;JPG;3535309;NULL;NULL;0232/003535309.JPG;NULL;NULL;Universel;NULL;0;3;1;
3561409;232;BMP;3561409;NULL;NULL;0232/003561409.BMP;NULL;NULL;Universel;NULL;0;1;1;
003561409I;232;BMP;003561409I;NULL;NULL;0232/003561409I.BMP;NULL;NULL;Universel;NULL;0;1;1;
3567809;232;BMP;3567809;NULL;NULL;0232/003567809.BMP;NULL;NULL;Universel;NULL;0;1;1;
3568009;232;BMP;3568009;NULL;NULL;0232/003568009.BMP;NULL;NULL;Universel;NULL;0;1;1;
3568309;232;BMP;3568309;NULL;NULL;0232/003568309.BMP;NULL;NULL;Universel;NULL;0;1;1;
3575709;232;BMP;3575709;NULL;NULL;0232/003575709.BMP;NULL;NULL;Universel;NULL;0;1;1;
3614419;232;BMP;3614419;NULL;NULL;0232/003614419.BMP;NULL;NULL;Universel;NULL;0;1;1;
3614419;232;JPG;003614419_A;NULL;NULL;0232/003614419_A.JPG;NULL;NULL;Universel;NULL;0;3;2;
3616409;232;BMP;3616409;NULL;NULL;0232/003616409.BMP;NULL;NULL;Universel;NULL;0;1;1;
3634009;232;JPG;3634009;NULL;NULL;0232/003634009.JPG;NULL;NULL;Universel;NULL;0;3;1;
3634009;232;JPG;003634009_E;NULL;NULL;0232/003634009_E.JPG;NULL;NULL;Universel;NULL;0;3;2;
3787309;232;BMP;3787309;NULL;NULL;0232/003787309.BMP;NULL;NULL;Universel;NULL;0;1;1;
3791909;232;BMP;3791909;NULL;NULL;0232/003791909.BMP;NULL;NULL;Universel;NULL;0;1;1;
3792009;232;BMP;3792009;NULL;NULL;0232/003792009.BMP;NULL;NULL;Universel;NULL;0;1;1;
3792109;232;BMP;3792109;NULL;NULL;0232/003792109.BMP;NULL;NULL;Universel;NULL;0;1;1;
